Frame;Hour;Day;Vacc0;Vacc1;Vacc2;dVacc0;dVacc1;dVacc2
626;2;26;101201;65876;13711;0;0;0
627;3;26;101201;65876;13711;0;0;0
628;4;26;101201;65876;13711;0;0;0
629;5;26;101201;65828;13576;0;-48;-135
630;6;26;101201;65828;13576;0;0;0
631;7;26;101201;65775;13448;0;-53;-128
632;8;26;101201;61913;17310;0;-3862;3862
633;9;26;101201;61898;17110;0;-15;-200
634;10;26;101201;61898;17110;0;0;0
635;11;26;101201;61883;16914;0;-15;-196
636;12;26;101201;61883;16914;0;0;0
637;13;26;101201;61868;16719;0;-15;-195
638;14;26;101201;61868;16719;0;0;0
639;15;26;101201;61853;16527;0;-15;-192
640;16;26;101201;61853;16527;0;0;0
641;17;26;101201;61838;16335;0;-15;-192
642;18;26;101201;61838;16335;0;0;0
643;19;26;101201;61838;16335;0;0;0
644;20;26;101201;61838;16335;0;0;0
645;21;26;101201;61838;16335;0;0;0
646;22;26;101201;61838;16335;0;0;0
647;23;26;101201;61838;16335;0;0;0
648;0;27;101201;61838;16335;0;0;0
649;1;27;101201;61838;16335;0;0;0
650;2;27;101201;61838;16335;0;0;0
651;3;27;101201;61838;16335;0;0;0
652;4;27;101201;61838;16335;0;0;0
653;5;27;101201;61823;16147;0;-15;-188
654;6;27;101201;61823;16147;0;0;0
655;7;27;101201;61806;15971;0;-17;-176
656;8;27;100850;58580;19548;-351;-3226;3577
