code,table_group,scenario,experiment,repetition,status,detail,runtime_seconds,runtime_seconds_per_cycle,peak_working_set_mib,max_blob_count,commit_sha
F01,disruption,stage6_13_levy_v2_flood_destinations,popular_times_v2/stage6/13_levy_v2_flood_destinations,4,complete,all controlled performance artifacts are complete,421.38807570002973,7.524787066071959,400.78125,6963,48b2e244f7329c368e46d286002bbc4de7bd81a3
F02,disruption,stage6_13_levy_v2_flood_homes,popular_times_v2/stage6/13_levy_v2_flood_homes,0,complete,all controlled performance artifacts are complete,504.06588859995827,9.001176582142111,499.83203125,8553,48b2e244f7329c368e46d286002bbc4de7bd81a3
F02,disruption,stage6_13_levy_v2_flood_homes,popular_times_v2/stage6/13_levy_v2_flood_homes,1,complete,all controlled performance artifacts are complete,511.397727500007,9.13210227678584,499.1796875,8668,48b2e244f7329c368e46d286002bbc4de7bd81a3
F02,disruption,stage6_13_levy_v2_flood_homes,popular_times_v2/stage6/13_levy_v2_flood_homes,2,complete,all controlled performance artifacts are complete,506.59208060003584,9.046287153572068,497.3984375,8546,48b2e244f7329c368e46d286002bbc4de7bd81a3
F02,disruption,stage6_13_levy_v2_flood_homes,popular_times_v2/stage6/13_levy_v2_flood_homes,3,complete,all controlled performance artifacts are complete,502.7836415999918,8.978279314285569,506.5703125,8504,48b2e244f7329c368e46d286002bbc4de7bd81a3
F02,disruption,stage6_13_levy_v2_flood_homes,popular_times_v2/stage6/13_levy_v2_flood_homes,4,complete,all controlled performance artifacts are complete,505.4184388999711,9.025329266070912,507.328125,8646,48b2e244f7329c368e46d286002bbc4de7bd81a3
F03,disruption,stage6_13_levy_v2_flood_all,popular_times_v2/stage6/13_levy_v2_flood_all,0,complete,all controlled performance artifacts are complete,453.0163494000444,8.089577667857936,435.41015625,8220,48b2e244f7329c368e46d286002bbc4de7bd81a3
F03,disruption,stage6_13_levy_v2_flood_all,popular_times_v2/stage6/13_levy_v2_flood_all,1,complete,all controlled performance artifacts are complete,456.4441819000058,8.150788962500103,430.63671875,8251,48b2e244f7329c368e46d286002bbc4de7bd81a3
F03,disruption,stage6_13_levy_v2_flood_all,popular_times_v2/stage6/13_levy_v2_flood_all,2,complete,all controlled performance artifacts are complete,454.02574599999934,8.107602607142846,428.9296875,8195,48b2e244f7329c368e46d286002bbc4de7bd81a3
F03,disruption,stage6_13_levy_v2_flood_all,popular_times_v2/stage6/13_levy_v2_flood_all,3,complete,all controlled performance artifacts are complete,454.1817865000339,8.110389044643464,429.86328125,8157,48b2e244f7329c368e46d286002bbc4de7bd81a3
F03,disruption,stage6_13_levy_v2_flood_all,popular_times_v2/stage6/13_levy_v2_flood_all,4,complete,all controlled performance artifacts are complete,455.8027321000118,8.139334501785925,433.0234375,8133,48b2e244f7329c368e46d286002bbc4de7bd81a3
F04,disruption,stage6_13_levy_v2_flood_all_pt_reroute,popular_times_v2/stage6/13_levy_v2_flood_all_pt_reroute,0,complete,all controlled performance artifacts are complete,476.76855550002074,8.513724205357514,446.98046875,8181,48b2e244f7329c368e46d286002bbc4de7bd81a3
F04,disruption,stage6_13_levy_v2_flood_all_pt_reroute,popular_times_v2/stage6/13_levy_v2_flood_all_pt_reroute,1,complete,all controlled performance artifacts are complete,479.87591239996254,8.569212721427903,445.01953125,8241,48b2e244f7329c368e46d286002bbc4de7bd81a3
