;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
388;Auxiliadora;Bom Jesus;119;0;77;27;0;119
389;Auxiliadora;Camaquã;10;0;6;1;0;10
390;Auxiliadora;Campo Novo;0;0;0;0;0;0
391;Auxiliadora;Cascata;100;50;27;7;50;50
392;Auxiliadora;Cavalhada;190;50;87;40;50;140
393;Auxiliadora;Cel. Aparício Borges;135;0;93;21;50;85
394;Auxiliadora;Centro Histórico;563;50;86;31;400;163
395;Auxiliadora;Chapéu do Sol;50;50;0;0;50;0
396;Auxiliadora;Chácara das Pedras;200;0;105;68;0;200
397;Auxiliadora;Cidade Baixa;160;0;68;26;50;110
398;Auxiliadora;Costa e Silva;119;50;40;18;50;69
399;Auxiliadora;Cristal;88;0;47;20;0;88
400;Auxiliadora;Cristo Redentor;322;0;161;56;50;272
401;Auxiliadora;Espírito Santo;100;50;0;0;100;0
402;Auxiliadora;Extrema;0;0;0;0;0;0
403;Auxiliadora;Farrapos;4717;1294;2043;1060;1197;1224
404;Auxiliadora;Farroupilha;50;0;33;11;0;50
405;Auxiliadora;Floresta;600;100;218;103;200;400
406;Auxiliadora;Glória;106;0;66;27;0;106
407;Auxiliadora;Guarujá;0;0;0;0;0;0
408;Auxiliadora;Higienópolis;1059;150;441;195;300;759
409;Auxiliadora;Humaitá;100;50;27;5;50;50
410;Auxiliadora;Hípica;0;0;0;0;0;0
411;Auxiliadora;Independência;0;0;0;0;0;0
412;Auxiliadora;Ipanema;12;0;8;3;0;12
413;Auxiliadora;Jardim Botânico;113;50;33;12;50;63
414;Auxiliadora;Jardim Carvalho;161;0;7;1;150;11
415;Auxiliadora;Jardim Europa;50;0;23;12;0;50
416;Auxiliadora;Jardim Floresta;100;0;58;28;0;100
417;Auxiliadora;Jardim Isabel;50;0;29;9;0;50
418;Auxiliadora;Jardim Itú;154;0;59;25;50;104
419;Auxiliadora;Jardim Leopoldina;62;50;10;2;50;12
420;Auxiliadora;Jardim Lindóia;100;0;58;24;0;100
421;Auxiliadora;Jardim Sabará;50;0;28;10;0;50
422;Auxiliadora;Jardim São Pedro;100;0;51;27;0;100
423;Auxiliadora;Jardim do Salso;100;50;25;17;50;50
424;Auxiliadora;Lageado;0;0;0;0;0;0
425;Auxiliadora;Lami;0;0;0;0;0;0
426;Auxiliadora;Lomba do Pinheiro;10;0;3;4;0;10
427;Auxiliadora;Medianeira;150;0;23;12;100;50
428;Auxiliadora;Menino Deus;687;100;191;94;400;287
429;Auxiliadora;Moinhos de Vento;950;350;202;89;650;300
430;Auxiliadora;Mont'Serrat;3007;150;1572;754;300;2707
431;Auxiliadora;Morro Santana;122;0;15;4;100;22
432;Auxiliadora;Mário Quintana;263;50;95;14;100;163
433;Auxiliadora;Navegantes;100;0;26;16;50;50
434;Auxiliadora;Nonoai;210;0;96;28;50;160
435;Auxiliadora;Parque Santa Fé;0;0;0;0;0;0
436;Auxiliadora;Partenon;268;50;97;51;100;168
437;Auxiliadora;Passo D'Areia;574;50;164;133;200;374
438;Auxiliadora;Passo das Pedras;117;0;68;24;0;117
439;Auxiliadora;Pedra Redonda;50;0;21;17;0;50
440;Auxiliadora;Petrópolis;784;150;349;143;150;634
441;Auxiliadora;Pitinga;0;0;0;0;0;0
442;Auxiliadora;Ponta Grossa;0;0;0;0;0;0
443;Auxiliadora;Praia de Belas;0;0;0;0;0;0
444;Auxiliadora;Restinga;138;50;53;8;50;88
445;Auxiliadora;Rio Branco;562;50;169;85;250;312
446;Auxiliadora;Rubem Berta;159;0;68;71;0;159
447;Auxiliadora;Santa Cecília;150;0;49;30;50;100
448;Auxiliadora;Santa Maria Goretti;50;0;34;4;0;50
449;Auxiliadora;Santa Rosa de Lima;207;0;88;26;50;157
450;Auxiliadora;Santa Tereza;231;0;137;33;0;231
451;Auxiliadora;Santana;465;50;146;80;200;265
452;Auxiliadora;Santo Antônio;159;0;64;33;50;109
453;Auxiliadora;Sarandi;167;50;33;19;100;67
454;Auxiliadora;Serraria;0;0;0;0;0;0
455;Auxiliadora;São Caetano;0;0;0;0;0;0
456;Auxiliadora;São Geraldo;450;50;162;63;250;200
457;Auxiliadora;São José;11;0;7;2;0;11
458;Auxiliadora;São João;700;100;336;173;100;600
459;Auxiliadora;São Sebastião;50;0;0;0;50;0
460;Auxiliadora;Sétimo Céu;50;0;26;9;0;50
461;Auxiliadora;Teresópolis;0;0;0;0;0;0
462;Auxiliadora;Tristeza;69;0;35;18;0;69
463;Auxiliadora;Três Figueiras;350;50;156;81;50;300
464;Auxiliadora;Vila Assunção;0;0;0;0;0;0
465;Auxiliadora;Vila Conceição;0;0;0;0;0;0
466;Auxiliadora;Vila Ipiranga;109;50;5;1;100;9
467;Auxiliadora;Vila Jardim;260;0;127;54;50;210
468;Auxiliadora;Vila João Pessoa;152;50;53;20;50;102
469;Auxiliadora;Vila Nova;152;0;81;41;0;152
470;Azenha;Aberta dos Morros;0;0;0;0;0;0
471;Azenha;Agronomia;100;0;52;19;0;100
